transaction_id,card_id,date,amount,merchant_category
TXN0000025,CARD00001,2024-01-01,3115.08,Servicios
TXN0000047,CARD00002,2024-01-01,2838.64,Marketing
TXN0000078,CARD00003,2024-01-01,4141.66,Servicios
TXN0000117,CARD00004,2024-01-01,7222.88,Marketing
TXN0000131,CARD00005,2024-01-01,5021.62,Nómina
TXN0000177,CARD00007,2024-01-01,3069.68,Renta
TXN0000543,CARD00020,2024-01-01,2882.28,Logística
TXN0000835,CARD00029,2024-01-01,5832.78,Renta
TXN0001274,CARD00041,2024-01-01,898.54,Nómina
TXN0001464,CARD00047,2024-01-01,3690.35,Insumos
TXN0001474,CARD00047,2024-01-01,3222.07,Insumos
TXN0001736,CARD00056,2024-01-01,1090.6,Logística
TXN0002000,CARD00065,2024-01-01,3881.32,Renta
TXN0000213,CARD00008,2024-01-02,5407.98,Marketing
TXN0000366,CARD00014,2024-01-02,3509.87,Servicios
TXN0000468,CARD00017,2024-01-02,3525.7,Logística
TXN0000723,CARD00025,2024-01-02,4308.84,Nómina
TXN0000858,CARD00029,2024-01-02,2336.03,Marketing
TXN0000974,CARD00033,2024-01-02,4335.71,Servicios
TXN0000995,CARD00033,2024-01-02,5555.83,Nómina
TXN0001102,CARD00036,2024-01-02,50.0,Logística
TXN0001175,CARD00038,2024-01-02,4374.66,Marketing
TXN0001298,CARD00042,2024-01-02,2424.42,Servicios
TXN0001333,CARD00043,2024-01-02,7128.66,Logística
TXN0001825,CARD00059,2024-01-02,6546.02,Nómina
TXN0001830,CARD00059,2024-01-02,2613.28,Renta
TXN0001885,CARD00061,2024-01-02,6242.72,Servicios
TXN0002099,CARD00068,2024-01-02,1546.18,Servicios
TXN0000515,CARD00019,2024-01-03,3129.32,Insumos
TXN0000524,CARD00019,2024-01-03,3193.89,Insumos
TXN0000730,CARD00025,2024-01-03,3188.21,Insumos
TXN0000737,CARD00026,2024-01-03,2520.74,Insumos
TXN0000755,CARD00026,2024-01-03,3860.96,Renta
TXN0000878,CARD00030,2024-01-03,3730.55,Servicios
TXN0001039,CARD00034,2024-01-03,2729.08,Servicios
TXN0001095,CARD00036,2024-01-03,3260.26,Nómina
TXN0001443,CARD00047,2024-01-03,5372.8,Insumos
TXN0001581,CARD00051,2024-01-03,1212.16,Insumos
TXN0000005,CARD00001,2024-01-04,5622.34,Logística
TXN0000014,CARD00001,2024-01-04,3161.93,Insumos
TXN0000059,CARD00002,2024-01-04,1436.57,Renta
TXN0000080,CARD00003,2024-01-04,2728.69,Renta
TXN0000304,CARD00011,2024-01-04,2065.07,Logística
TXN0000331,CARD00013,2024-01-04,5385.2,Renta
TXN0000525,CARD00019,2024-01-04,5537.8,Marketing
TXN0000596,CARD00021,2024-01-04,4676.48,Nómina
TXN0000698,CARD00024,2024-01-04,2146.32,Servicios
TXN0000961,CARD00032,2024-01-04,9234.87,Nómina
TXN0001016,CARD00034,2024-01-04,3545.37,Renta
TXN0001052,CARD00035,2024-01-04,3096.02,Insumos
TXN0001441,CARD00047,2024-01-04,5724.47,Marketing
TXN0001507,CARD00049,2024-01-04,3184.47,Logística
TXN0001845,CARD00060,2024-01-04,3238.66,Nómina
TXN0001618,CARD00053,2024-01-05,4580.53,Servicios
TXN0001675,CARD00054,2024-01-05,3914.72,Nómina
TXN0001843,CARD00060,2024-01-05,2275.57,Servicios
TXN0000137,CARD00005,2024-01-06,4787.29,Renta
TXN0000505,CARD00018,2024-01-06,1161.66,Insumos
TXN0000601,CARD00021,2024-01-06,2133.19,Servicios
TXN0000955,CARD00032,2024-01-06,2797.38,Servicios
TXN0001009,CARD00034,2024-01-06,3859.58,Logística
TXN0001437,CARD00046,2024-01-06,4589.36,Servicios
TXN0001498,CARD00048,2024-01-06,2033.86,Insumos
TXN0001788,CARD00058,2024-01-06,3700.21,Marketing
TXN0001839,CARD00060,2024-01-06,2198.07,Servicios
TXN0000313,CARD00012,2024-01-07,2398.61,Insumos
TXN0001018,CARD00034,2024-01-07,2920.91,Renta
